,Title,Task
0,Accountants and Auditors,"['Prepare detailed reports on audit findings.', 'Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.', 'Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.', 'Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.', 'Supervise auditing of establishments, and determine scope of investigation required.', 'Confer with company officials about financial and regulatory matters.', 'Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.', 'Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate.', 'Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.', 'Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.', 'Prepare adjusting journal entries.', 'Review accounts for discrepancies and reconcile differences.', 'Establish tables of accounts and assign entries to proper accounts.', 'Examine inventory to verify journal and ledger entries.', 'Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.', 'Report to management regarding the finances of establishment.', 'Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.', 'Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.', ""Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives."", ""Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws."", 'Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office.', 'Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements.', 'Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.', 'Represent clients before taxing authorities and provide support during litigation involving financial issues.', 'Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records.', 'Conduct pre-implementation audits to determine if systems and programs under development will work as planned.', 'Develop, maintain, or analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.', 'Prepare, analyze, or verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.', 'Process invoices for payment.', 'Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.']"
1,Actors,"['Collaborate with other actors as part of an ensemble.', 'Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.', 'Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role.', 'Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.', 'Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed.', 'Learn about characters in scripts and their relationships to each other to develop role interpretations.', 'Attend auditions and casting calls to audition for roles.', 'Sing or dance during dramatic or comedic performances.', 'Work with other crew members responsible for lighting, costumes, make-up, and props.', 'Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences.', 'Read from scripts or books to narrate action or to inform or entertain audiences, utilizing few or no stage props.', 'Promote productions using means such as interviews about plays or movies.', 'Prepare and perform action stunts for motion picture, television, or stage productions.', 'Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.', 'Introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.', 'Dress in comical clown costumes and makeup, and perform comedy routines to entertain audiences.', 'Construct puppets and ventriloquist dummies, and sew accessory clothing, using hand tools and machines.', 'Perform original and stock tricks of illusion to entertain and mystify audiences, occasionally including audience members as participants.', 'Manipulate strings, wires, rods, or fingers to animate puppets or dummies in synchronization with talking, singing, or recorded programs.']"
2,Actuaries,"['Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.', 'Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.', 'Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public.', 'Provide advice to clients on a contract basis, working as a consultant.', 'Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates.', 'Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.', 'Negotiate terms and conditions of reinsurance with other companies.', 'Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business.', 'Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies.', 'Testify before public agencies on proposed legislation affecting businesses.', 'Determine policy contract provisions for each type of insurance.', 'Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person disabled or killed in an accident.', 'Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings.', 'Manage credit and help price corporate security offerings.', 'Explain changes in contract provisions to customers.']"
3,Acupuncturists,"['Develop individual treatment plans and strategies.', 'Adhere to local, state, and federal laws, regulations, and statutes.', 'Insert needles to provide acupuncture treatment.', ""Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding."", 'Collect medical histories and general health and lifestyle information from patients.', 'Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements.', 'Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.', 'Maintain and follow standard quality, safety, environmental, and infection control policies and procedures.', 'Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques.', 'Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions.', 'Maintain detailed and complete records of health care plans and prognoses.', ""Assess patients' general physical appearance to make diagnoses."", 'Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.', 'Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants.', 'Consider Western medical procedures in health assessment, health care team communication, and care referrals.', 'Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health.', 'Treat medical conditions, using techniques such as acupressure, shiatsu, or tuina.', 'Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa.']"
4,Acute Care Nurses,"['Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions.', ""Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses, and changing care plans accordingly."", ""Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes."", 'Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.', 'Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.', 'Assess urgent and emergent health conditions, using both physiologically and technologically derived data.', ""Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships."", 'Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).', 'Obtain specimens or samples for laboratory work.', 'Collaborate with patients to plan for future health care needs or to coordinate transitions and referrals.', 'Refer patients for specialty consultations or treatments.', 'Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines.', 'Discuss illnesses and treatments with patients and family members.', 'Distinguish between normal and abnormal developmental and age-related physiological and behavioral changes in acute, critical, and chronic illness.', 'Collaborate with members of multidisciplinary health care teams to plan, manage, or assess patient treatments.', ""Assess the needs of patients' family members or caregivers."", 'Perform administrative duties that facilitate admission, transfer, or discharge of patients.', 'Provide formal and informal education to other staff members.', 'Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in acute care.', 'Treat wounds or superficial lacerations.', ""Participate in patients' care meetings and conferences."", 'Participate in the development of practice protocols.', ""Adjust settings on patients' assistive devices, such as temporary pacemakers."", ""Prescribe medications and observe patients' reactions, modifying prescriptions as needed."", 'Order, perform, or interpret the results of diagnostic tests and screening procedures based on assessment results, differential diagnoses, and knowledge about age, gender and health status of clients.', 'Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.', 'Assist patients in organizing their health care system activities.']"
5,Adapted Physical Education Specialists,"['Adapt instructional techniques to the age and skill levels of students.', 'Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement.', 'Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals.', 'Provide students positive feedback to encourage them and help them develop an appreciation for physical education.', 'Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning.', 'Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition.', ""Assess students' physical progress or needs."", 'Assist in screening or placement of students in adapted physical education programs.', 'Evaluate the motor needs of individual students to determine their need for adapted physical education services.', 'Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.', 'Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records.', ""Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance."", 'Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators.', 'Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.', 'Write reports to summarize student performance, social growth, or physical development.', 'Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.', 'Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education.', 'Review adapted physical education programs or practices to ensure compliance with government or other regulations.', 'Request or order physical education equipment, following standard procedures.', 'Maintain inventory of instructional equipment, materials, or aids.']"
6,Adhesive Bonding Machine Operators and Tenders,"['Align and position materials being joined to ensure accurate application of adhesive or heat sealing.', 'Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.', 'Monitor machine operations to detect malfunctions and report or resolve problems.', 'Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings.', 'Fill machines with glue, cement, or adhesives.', 'Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.', 'Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers.', 'Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.', 'Remove and stack completed materials or products, and restock materials to be joined.', 'Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors.', 'Maintain production records such as quantities, dimensions, and thicknesses of materials processed.', 'Remove jammed materials from machines and readjust components as necessary to resume normal operations.', 'Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines.', 'Transport materials, supplies, and finished products between storage and work areas, using forklifts.', 'Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers.', 'Measure and mix ingredients to prepare glue.', 'Depress pedals to lower electrodes that heat and seal edges of material.']"
7,"Administrative Law Judges, Adjudicators, and Hearing Officers","['Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence.', 'Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties.', 'Prepare written opinions and decisions.', 'Authorize payment of valid claims and determine method of payment.', 'Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations.', 'Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions.', 'Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records.', 'Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions.', 'Rule on exceptions, motions, and admissibility of evidence.', 'Explain to claimants how they can appeal rulings that go against them.', 'Confer with individuals or organizations involved in cases to obtain relevant information.', 'Issue subpoenas and administer oaths in preparation for formal hearings.', 'Schedule hearings.', 'Conduct studies of appeals procedures in field agencies to ensure adherence to legal requirements and to facilitate determination of cases.']"
8,Administrative Services Managers,"['Prepare and review operational reports and schedules to ensure accuracy and efficiency.', 'Set goals and deadlines for the department.', 'Acquire, distribute and store supplies.', 'Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.', 'Conduct classes to teach procedures to staff.', 'Plan, administer, and control budgets for contracts, equipment, and supplies.', 'Hire and terminate clerical and administrative personnel.', 'Direct or coordinate the supportive services department of a business, agency, or organization.', ""Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met."", 'Develop operational standards and procedures for the work unit or department.', 'Establish work procedures or schedules to organize the daily work of administrative staff.', 'Learn to operate new office technologies as they are developed and implemented.', 'Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.', 'Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.', 'Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.', 'Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance.', 'Represent work unit at meetings or conferences and serve as liaison for requests or complaints.', 'Supervise administrative staff and provide training and orientation to new staff.']"
9,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","[""Observe and evaluate students' work to determine progress and make suggestions for improvement."", 'Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.', 'Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.', ""Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests."", 'Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks.', 'Prepare materials and classrooms for class activities.', 'Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.', 'Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.', 'Assign and grade class work and homework.', 'Maintain accurate and complete student records as required by laws or administrative policies.', 'Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic English language skills, life skills, and workforce entry skills.', 'Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible.', 'Prepare and administer written, oral, and performance tests and issue grades in accordance with performance.', 'Prepare and implement remedial programs for students requiring extra help.', 'Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.', 'Enforce administration policies and rules governing students.', 'Use computers, audio-visual aids, and other equipment and materials to supplement presentations.', 'Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.', 'Prepare reports on students and activities as required by administration.', 'Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.', 'Register, orient, and assess new students according to standards and procedures.', 'Collaborate with other teachers and professionals in the development of instructional programs.', 'Attend staff meetings and serve on committees, as required.', ""Meet with other professionals to discuss individual students' needs and progress."", 'Guide and counsel students with adjustment or academic problems or special academic interests.', 'Select, order, and issue books, materials, and supplies for courses or projects.', 'Attend professional meetings, conferences, and workshops to maintain and improve professional competence.', 'Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula.', 'Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities.', 'Provide disabled students with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.', 'Provide information, guidance, and preparation for the General Equivalency Diploma (GED) examination.', 'Select and schedule class times to ensure maximum attendance.', 'Train and assist tutors and community literacy volunteers.', 'Observe and evaluate the performance of other instructors.', 'Confer with leaders of government and community groups to coordinate student training or to find opportunities for students to fulfill curriculum requirements.', 'Participate in publicity planning, community awareness efforts, and student recruitment.', 'Advise students on internships, prospective employers, and job placement services.', 'Write grants to obtain program funding.', 'Write instructional articles on designated subjects.']"
