"index","Title","Summary","Enrollment","Stars","Rating","Link"
0,The Complete SQL Bootcamp 2020: Go from Zero to Hero,Become an expert at SQL!,301243,4.7,79919,https://www.udemy.com/course/the-complete-sql-bootcamp/
1,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,Learn Tableau 2020 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!,211674,4.6,55582,https://www.udemy.com/course/tableau10/
2,PMP Exam Prep Seminar - PMBOK Guide 6,PMP Exam Prep Seminar - Earn 35 PDUs by completing the entire PMP course,157957,4.6,53858,https://www.udemy.com/course/pmp-pmbok6-35-pdus/
3,The Complete Financial Analyst Course 2020,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",249097,4.5,47415,https://www.udemy.com/course/the-complete-financial-analyst-course/
4,An Entire MBA in 1 Course:Award Winning Business School Prof,** #1 Best Selling Business Course! ** Everything You Need to Know About Business from Start-up to IPO,376913,4.5,42101,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/
5,Microsoft Power BI - A Complete Introduction [2020 EDITION],"Learn how to use Microsoft's Power BI Tools, including Power BI Desktop, Power BI Pro (Service) and PowerBI Developer",126880,4.6,38771,https://www.udemy.com/course/powerbi-complete-introduction/
6,Agile Crash Course: Agile Project Management; Agile Delivery,Get Agile Certified & Learn about the key and most important concepts and tools of Agile Project Management (Scrum),98700,4.3,31276,https://www.udemy.com/course/agile-crash-course/
7,Beginner to Pro in Excel: Financial Modeling and Valuation,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,128940,4.5,29111,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/
8,Become a Product Manager | Learn the Skills & Get the Job,"The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more",114114,4.5,27879,https://www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/
9,The Business Intelligence Analyst Course 2020,"The skills you need to become a BI Analyst - Statistics, Database theory, SQL, Tableau – Everything is included",118019,4.5,24582,https://www.udemy.com/course/the-business-intelligence-analyst-course-2018/
10,Microsoft Power BI - Up & Running With Power BI Desktop,"Transform, analyze & visualize data with Microsoft Power BI Desktop: hands-on demos, projects & 1-on-1 Power BI support",89006,4.6,24388,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/
11,Business Analysis Fundamentals,"Set yourself up for success, learn the key business analysis concepts to thrive in your Business Analyst career",83310,4.5,23743,https://www.udemy.com/course/business-analysis-ba/
12,Leadership: Practical Leadership Skills,Master leadership skills and leadership techniques with this highly practical advice and training,69860,4.6,23283,https://www.udemy.com/course/practical-leadership/
13,The Complete Foundation Stock Trading Course,"Learn To Trade The Stock Market by A Trading Firm CEO. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++",79089,4.5,22204,https://www.udemy.com/course/foundation-course/
14,SQL - MySQL for Data Analytics and Business Intelligence,"SQL that will get you hired – SQL for Business Analysis, Marketing, and Data Management",80470,4.6,21951,https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/
15,The Complete Financial Analyst Training & Investing Course,"Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital",183645,4.5,21807,https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/
16,The Ultimate Hands-On Hadoop - Tame your Big Data!,"Hadoop tutorial with MapReduce, HDFS, Spark, Flink, Hive, HBase, MongoDB, Cassandra, Kafka + more! Over 25 technologies.",116200,4.6,21636,https://www.udemy.com/course/the-ultimate-hands-on-hadoop-tame-your-big-data/
17,The Complete Investment Banking Course 2020,"The #1 Course to Land a Job in Investment Banking. IPOs, Bonds, M&A, Trading, LBOs, Valuation: Everything is included!",89441,4.5,20326,https://www.udemy.com/course/the-complete-investment-banking-course-2016/
18,How to Start an Amazon FBA Store on a Tight Budget,"The complete Amazon selling blueprint. Start a brand new career today, even if you are on a very small start-up budget.",73088,4.6,19524,https://www.udemy.com/course/sell-on-amazon-as-small-start-up/
19,Deep Learning Prerequisites: The Numpy Stack in Python (V2+),"The Numpy, Scipy, Pandas, and Matplotlib stack: prep for deep learning, machine learning, and artificial intelligence",239470,4.5,18388,https://www.udemy.com/course/deep-learning-prerequisites-the-numpy-stack-in-python/
20,Python for Finance: Investment Fundamentals & Data Analytics,Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training,84195,4.5,17929,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/
21,"Introduction to Finance, Accounting, Modeling and Valuation","Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC",142904,4.5,17549,https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/
22,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Forex Trading - Beginners and Experienced - Learn trading by Doing! Live examples: Forex with Real Money in Metatrader 4,67924,4.6,17220,https://www.udemy.com/course/forex-trading/
23,Write Better Emails: Tactics for Smarter Team Communication,How to improve your email writing skills to save time & improve communication with your team; easy business writing tips,51707,4.4,16494,https://www.udemy.com/course/write-better-emails/
24,Beginning Project Management: Project Management Level One,Project Management: Growing a Successful Career as a Project Manager,49489,4.5,15139,https://www.udemy.com/course/beginning-project-management-project-management-level-one/
25,The Complete Shopify Aliexpress Dropship course,"In 2020, secure your financial future, by building a highly profitable Shopify dropshipping business from home",74795,4.7,14215,https://www.udemy.com/course/the-complete-shopify-aliexpress-dropship-course/
26,Writing With Flair: How To Become An Exceptional Writer,"Ex-Wall Street Journal Editor Teaches How To Write With Confidence, Style & Impact",103488,4.5,12679,https://www.udemy.com/course/writing-with-flair-how-to-become-an-exceptional-writer/
27,Agile Fundamentals: Including Scrum and Kanban - 2020,"Master Agile principles, values, approaches, & mindset to help organizations make changes faster and with less expense",51744,4.4,12377,https://www.udemy.com/course/agile-fundamentals-scrum-kanban-scrumban/
28,SQL for Data Analysis: Weekender Crash Course for Beginners,"Using MySQL but applicable to Oracle SQL, Microsoft SQL Server, and PostgreSQL. Taught by a Data Scientist and PM.",59629,4.3,11820,https://www.udemy.com/course/sql-for-newbs/
29,Sales Training: Practical Sales Techniques,"Sales Hacking: Essential sales skills, sales strategies and sales techniques to sell just about anything!",39333,4.6,11805,https://www.udemy.com/course/master-successful-selling/
30,Ninja Writing: The Four Levels Of Writing Mastery,"Turn Your Business Writing, Blogs, Books & Essays Into Masterpieces",85844,4.4,11167,https://www.udemy.com/course/ninja-writing-the-four-levels-of-writing-mastery/
