"index","Title","Summary","Enrollment","Stars","Rating","Link"
0,The Ultimate Drawing Course - Beginner to Advanced,Learn the #1 most important building block of all art,403865,4.5,98984,https://www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/
1,Character Art School: Complete Character Drawing Course,"Learn How to Draw People and Character Designs Professionally, Drawing for Animation, Comics, Cartoons, Games and More!",228471,4.5,51220,https://www.udemy.com/course/character-art-school-complete-character-drawing/
2,Complete Blender Creator: Learn 3D Modelling for Beginners,"Use Blender to Create Beautiful 3D models for Video Games, 3D Printing & More. Beginners Level Course",203790,4.6,39959,https://www.udemy.com/course/blendertutorial/
3,Design Thinking in 3 Steps,"Understand your audience, envision a creative solution, and test your prototype",63479,4.4,28014,https://www.udemy.com/course/designit-design-thinking/
4,Illustrator CC 2020 MasterClass,Master Adobe Illustrator CC with this in-depth training for all levels.,117513,4.6,25858,https://www.udemy.com/course/illustrator-cc-masterclass/
5,User Experience Design Essentials - Adobe XD UI UX Design,"Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design",94235,4.6,23988,https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd/
6,Ultimate Photoshop Training: From Beginner to Pro,Master Photoshop CC 2020 without any previous knowledge with this easy-to-follow course,121883,4.6,20629,https://www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/
7,After Effects CC 2020: Complete Course from Novice to Expert,"Create stunning Motion Graphics, VFX Visual Effects & VFX Compositing with hands-on tutorials & 50+ practice projects.",106344,4.6,20252,https://www.udemy.com/course/after-effects-kinetic-typography/
8,Graphic Design Masterclass - Learn GREAT Design,"The Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign,Design Theory, Branding and Logo Design",61002,4.6,16282,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
9,Adobe Photoshop CC: Your Complete Beginner to Advanced Class,Learn the essential tools of Adobe Photoshop CC to jump right in and design beautiful graphics and photos in Photoshop.,470991,4.6,16005,https://www.udemy.com/course/adobe-photoshop-course/
10,Wordpress for Beginners - Master Wordpress Quickly,"In 2020, build a beautiful responsive Wordpress site that looks great on all devices. No experience required.",64732,4.5,15045,https://www.udemy.com/course/wordpress-for-beginners-course/
