"index","Title","Summary","Enrollment","Stars","Rating","Link"
0,The Complete Financial Analyst Course 2020,"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",249123,4.5,47466,https://www.udemy.com/course/the-complete-financial-analyst-course/
1,Beginner to Pro in Excel: Financial Modeling and Valuation,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,128940,4.6,29128,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/
2,The Complete Foundation Stock Trading Course,"Learn To Trade The Stock Market by A Trading Firm CEO. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++",79089,4.5,22239,https://www.udemy.com/course/foundation-course/
3,The Complete Financial Analyst Training & Investing Course,"Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital",183645,4.5,21818,https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/
4,Investing In Stocks The Complete Course! (11 Hour),"Master Investing in the Stock Market with Stocks, Mutual Funds, ETF, from a Top Instructor & Millionaire Stock Portfolio",111937,4.4,20993,https://www.udemy.com/course/investing-in-stocks/
5,Blockchain and Bitcoin Fundamentals,Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.,66320,4.6,20726,https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/
6,The Complete Investment Banking Course 2020,"The #1 Course to Land a Job in Investment Banking. IPOs, Bonds, M&A, Trading, LBOs, Valuation: Everything is included!",89447,4.5,20346,https://www.udemy.com/course/the-complete-investment-banking-course-2016/
7,Python for Finance: Investment Fundamentals & Data Analytics,Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training,84202,4.5,17942,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/
8,"Introduction to Finance, Accounting, Modeling and Valuation","Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC",142924,4.5,17572,https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/
9,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Forex Trading - Beginners and Experienced - Learn trading by Doing! Live examples: Forex with Real Money in Metatrader 4,67924,4.6,17227,https://www.udemy.com/course/forex-trading/
10,Stock Trading Crash Course !,Learn from a full time stock trader. Technical Analysis|Chart Patterns|Trading strategies|Swing and intraday trading,35688,4.5,15800,https://www.udemy.com/course/stock-trading-crash-course/
11,Cryptocurrency Investment Course 2020: Fund your Retirement!,"Complete A-Z Guide to Bitcoin, Blockchain, Ethereum, Altcoins, ICOs, DeFi & how to invest in them for your retirement!",42214,4.1,12136,https://www.udemy.com/course/cryptocurrency/
12,Accounting in 60 Minutes - A Brief Introduction,Learn the very basics of accounting in just about an hour.,80231,4.5,9214,https://www.udemy.com/course/accounting-in-60-minutes-a-brief-introduction/
13,Technical Analysis MasterClass:Trading By Technical Analysis,"Stock Market Technical Analysis Secrets for Forex , Stock Trading , Options , Swing Trading & Day Trading + ASSIGNMENTS",41213,4.4,8770,https://www.udemy.com/course/technical_analysis/
14,Accounting & Financial Statement Analysis: Complete Training,Accounting & Financial Ratio Analysis made easy. Learn important accounting skills that will get your foot in the door!,38469,4.6,6381,https://www.udemy.com/course/accounting-fsa-a-solid-foundation-for-a-career-in-finance/
15,Advanced Stock Trading Course + Strategies,"Learn To Trade The Stock Market by A Trading Firm CEO. For: Stocks, Day Trading, Swing Trading and Financial Trading",37703,4.6,6103,https://www.udemy.com/course/advanced-course-plus-strategies/
16,"The Complete Personal Finance Course: Save,Protect,Make More","3 Courses in 1! Save,Protect & Make More! By an Award Winning MBA Professor, VC & Best Selling Online Business Teacher.",87783,4.6,5137,https://www.udemy.com/course/the-complete-personal-finance-course-save-protect-make-more/
17,Options Trading Basics (3-Course Bundle),"A bundle combines 1)Intro to Call and Put Options 2) Time decay, Implied Volatility, Greeks 3) Call and Puts Live trades",29099,4.4,4913,https://www.udemy.com/course/learn-options-trading-courses/
18,Beginner to Pro in PowerPoint: Complete PowerPoint Training,PowerPoint lessons that are easy to apply at work! Become the top PowerPoint user in your office. #1 PowerPoint training,25951,4.4,4890,https://www.udemy.com/course/powerpoint-master-class-for-business-and-finance-graduates/
19,Value Investing Bootcamp: How to Invest Wisely,"Learn the Secrets of the Best Stock Investors, Manage Your Own Portfolio, And Earn Market Beating Returns",29990,4.5,4270,https://www.udemy.com/course/value-investing-bootcamp-how-to-invest-wisely/
20,Start Trading Stocks Using Technical Analysis!,"Learn the secrets of professional trading from a former stock broker, and make profits investing today!",18236,4.5,4237,https://www.udemy.com/course/professional-stock-trader/
21,#1 Cryptocurrency Long-term Investment Opportunity 2017/2018,Learn Long-term Cryptocurrency Investing and see which Alt Coin I think is the best investment opportunity in 2017!,13901,1.8,4048,https://www.udemy.com/course/cryptocurrency-course/
22,Excel Crash Course: Master Excel for Financial Analysis,"Beginner to Advanced: Learn Excel Shortcuts, Formulas & Functions for Financial Modeling & Corporate Finance",20487,4.4,3761,https://www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/
23,Financial Planning & Analysis: Building a Company's Budget,Learn the Fundamental Mechanics of Financial Planning and Position Your Career for Success!,17167,4.2,3671,https://www.udemy.com/course/financial-planning-analysis-building-a-companys-budget/
24,Accounting: From Beginner to Advanced!,Learn accounting like never before. Learn easy and fast. Easy to understand Accounting. #1 accounting course online.,15937,4.4,3654,https://www.udemy.com/course/accounting101/
25,Forex Robots: Automate Your Trading - Forex Robot Included!,Forex Robots - Learn the secrets to trading on a real Forex Account with Forex Trading Systems. Metatrader 4 EA,29014,4.7,3628,https://www.udemy.com/course/backtesting/
26,Stock Trading & Investing for Beginners 4-in-1 Course Bundle,Jumpstart your Stock Trading & Investing journey as Beginners in Stock Market. Learn both financial & technical analysis,16649,4.3,3265,https://www.udemy.com/course/complete-stock-market-starter-toolkit-for-beginners/
27,Acorns' Guide to Personal Finance,"5 Steps to Building Wealth: Budget Better, Pay Off Debt Faster, Save and Earn More Money and Invest Wisely",24819,4.3,3199,https://www.udemy.com/course/acorns-guide-to-personal-finance/
28,SAP FICO (Financial Accounting & Management Accounting) ,The course covers both configuration and end-user processes for SAP FICO module,15327,4.1,3016,https://www.udemy.com/course/sap-fico-training-course/
29,Algorithmic Trading In Forex: Create Your First Forex Robot!,Trading With Forex Robots: Learn MQL4 Programming By Doing! Create Your First Algorithmic Trading System in MetaTrader 4,20193,4.6,2926,https://www.udemy.com/course/learn-mql4/
30,Financial Modeling: Build a Complete DCF Valuation Model,The Ultimate Guide to Company Valuation For Aspiring Investment Bankers and Corporate Finance Practitioners,17127,4.5,2850,https://www.udemy.com/course/learn-how-to-value-a-company-and-build-a-dcf-model/
31,Options Trading - How to Win with Weekly Options,An Exact Blueprint for Options Trading Success,14597,4.1,2700,https://www.udemy.com/course/work-from-home-setup-your-own-options-trading-business/
32,CFA® Level 1 (2020) - Complete Financial Reporting &Analysis,Deep dive into FRA with the Bestselling CFA® prep course provider | With visual learning + Quizzes,17481,4.5,2668,https://www.udemy.com/course/cfa-level-1-fra-complete-mastery-course/
33,Options Trading for Rookies: Understand Options Completely,"Part 1: Learn everything you need to know about options, what they are, how they work, buying vs. selling and more!",13678,4.7,2673,https://www.udemy.com/course/complete-course-introduction-to-option-trading/
34,The Complete Finance Manager Course 2020,"Financial Management, ERP systems, Accounting, Capital budgeting, Presentation design, Management, and Negotiation",18165,4.4,2605,https://www.udemy.com/course/the-complete-finance-manager-course/
35,Mastering QuickBooks Online,Become An Expert QuickBooks Online And Learn How To Keep And Maintain QuickBooks Records For Perfect Accuracy,9256,4.4,2587,https://www.udemy.com/course/mastering-quickbooks-online/
36,Accounting - A Brief Introduction - in 60 Minutes,Learn the basics of financial accounting in one hour!,26519,4.7,2512,https://www.udemy.com/course/accounting-in-less-then-one-hour/
37,Complete Day Trading : Stock Trading With Technical Analysis,"Learn Stock Market Day Trading Strategies, Scanning & Trading Momentum Stocks , Nifty/Bank Nifty by Technical Analysis",16561,4.4,2517,https://www.udemy.com/course/day-trading-strategies-day-trading-with-technical-analysis/
38,The Ultimate QuickBooks Pro Training Bundle - 60+ Hours,"Master QuickBooks Pro with this training bundle consisting of 8 courses, 60+ hours, and over 400 videos.",17813,4.4,2499,https://www.udemy.com/course/the-ultimate-quickbooks-pro-training-bundle/
39,Options Trading MasterClass: Options With Technical Analysis,"Options Trading+++Strategies , Options Basics & Greeks (A 3-Course Bundle) For Stock & Day Trading By Technical Analysis",19775,4.3,2491,https://www.udemy.com/course/option-trading-option-strategies-with-technical-analysis/
40,Stock Trading Strategies : Technical Analysis MasterClass 2,"31 Analysed Stock Market Trading Strategies for Trading Stocks , Options CFD & Forex by Technical Analysis + ASSIGNMENTS",20689,4.5,2462,https://www.udemy.com/course/advance-trading-strategies/
41,Financial Modeling for Startups & Small Businesses,Learn the best practices for building practical financial models and forecasts for your startup business.,56785,4.4,2453,https://www.udemy.com/course/financial-modeling-for-startups-small-businesses/
42,Bookkeeping Basics #1: Understand the Fundamentals,"Learn bookkeeping terms and concepts to make owners, employees & students more confident and successful!",11204,4.6,2318,https://www.udemy.com/course/bookkeeping-basics/
