"index","Title","Summary","Enrollment","Stars","Rating","Link"
0,The Art & Science of Figure Drawing: GESTURE,"Learn everything you need to know about drawing dynamic, expressive figures.",15138,4.8,2282,https://www.udemy.com/course/figuredrawing/
1,Paint Realistic Watercolor and Botanicals - STUDIO BASICS,This foundation tutorial will help you understand essential work+studio basics for realistic watercolour and botanicals,11845,4.5,2265,https://www.udemy.com/course/paint-realistic-watercolor-and-botanicals-studio-basics/
2,Anime Drawing for Beginners,Learn how to draw characters in Anime Style!,10141,4.6,2231,https://www.udemy.com/course/anime-drawing-for-beginners/
3,HOW TO PAINT FROM BEGINNER TO MASTER,Oil Painting For All Skill Levels,11658,4.6,2018,https://www.udemy.com/course/how-to-paint-from-beginner-to-master/
4,Inside Your Dog's Mind with Victoria Stilwell,"Understanding canine behavior and how dogs think, feel and learn to make dog training easier & more effective.",8550,4.4,1957,https://www.udemy.com/course/insideyourdogsmind/
5,The Beginner's Guide to Digital Art with Procreate on iPad!,"Learn the basics of digital art on your iPad with these step-by-step lessons for Procreate, a powerful digital art app!",8864,4.6,1852,https://www.udemy.com/course/procreate-guide/
6,Essential Cooking Skills,"Cook like a pro, master the basic techniques used in the World's culinary industry! Key Techniques - Part 1",9172,4.5,1797,https://www.udemy.com/course/essential-cooking-skills/
7,The Art & Science of Drawing / DYNAMIC MARK MAKING,Create compelling drawings using expressive mark making.,10246,4.7,1765,https://www.udemy.com/course/the-art-science-of-drawing-week-two-dynamic-mark-making/
8,The Art & Science of Drawing / FORM & SPACE,Learn to draw in 3-Dimensions,14913,4.8,1732,https://www.udemy.com/course/the-art-science-of-drawing-weeks-3-4-form-space/
9,Dr. Ian Dunbar's SIRIUS® Dog Trainer Academy - All 4 Days,Learn how to train dogs the SIRIUS® way! Learn how to run and promote your own dog-friendly dog training business.,14836,4.6,1706,https://www.udemy.com/course/sirius-dog-trainer-academy-4days/
10,Foundations for Mastering Watercolor Painting,"An in-depth, approachable look at painting materials that will make mastering the medium truly possible.",7317,4.7,1637,https://www.udemy.com/course/foundations-for-mastering-watercolor-painting/
11,Emotional Intelligence (EQ) Practitioner Cert (ACCREDITED),Uncover the powerful Emotional Intelligence change framework & help yourself and others with Emotional Intelligence,7944,4.5,1607,https://www.udemy.com/course/emotional-intelligence-practitioner-certification/
12,The Complete Guide to League of Legends,"Learn how to improve your game mechanics, micro/macro knowledge, and rank from former LCS coach, NicoThePico.",4708,4.5,1599,https://www.udemy.com/course/the-complete-guide-to-league-of-legends/
13,Meditation Practitioner / Teacher Certification (ACCREDITED),A fully Accredited Meditation Practitioner / Teacher Certification course taking you from beginner to professional level,6390,4.7,1571,https://www.udemy.com/course/meditation-practitioner-teacher-certification-accredited/
14,The Basics of Household Wiring. The Electrical System A to Z,"Everything Electricity, from your Circuit (Breaker) Panel, Outlets, Switches, Receptacles, Light Fixtures, Cable, Wire..",6405,4.3,1500,https://www.udemy.com/course/learn-the-basics-of-household-wiring/
15,Healthy Cooking Fundamentals,A practical course to take your cooking skills from dull to delicious,18576,4.4,1484,https://www.udemy.com/course/up-beet-cooking-fundamentals/
