"index","Title","Summary","Enrollment","Stars","Rating","Link"
0,"2020 Complete Python Bootcamp: From Zero to Hero in Python",Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games!,1100093,4.6,318066,https://www.udemy.com/course/complete-python-bootcamp/
1,The Web Developer Bootcamp,"The only course you need to learn web development - HTML, CSS, JS, Node, and More!",596726,4.6,182997,https://www.udemy.com/course/the-web-developer-bootcamp/
2,Machine Learning A-Z™: Hands-On Python & R In Data Science,Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,692812,4.5,132228,https://www.udemy.com/course/machinelearning/
3,Angular - The Complete Guide (2020 Edition),"Master Angular 10 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",422557,4.6,129984,https://www.udemy.com/course/the-complete-guide-to-angular-2/
4,Java Programming Masterclass for Software Developers,Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,502572,4.6,123798,https://www.udemy.com/course/java-the-complete-java-developer-course/
5,"React - The Complete Guide (incl Hooks, React Router, Redux)","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",304670,4.6,90964,https://www.udemy.com/course/react-the-complete-guide-incl-redux/
6,The Complete 2020 Web Development Bootcamp,"Become a full-stack web developer with just one course. HTML, CSS, Javascript, Node, React, MongoDB and more!",270656,4.7,88098,https://www.udemy.com/course/the-complete-web-development-bootcamp/
7,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",387789,4.6,87403,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/
8,The Complete JavaScript Course 2020: Build Real Projects!,"Master JavaScript with the most complete course! Projects, challenges, quizzes, JavaScript ES6+, OOP, AJAX, Webpack",347979,4.6,83521,https://www.udemy.com/course/the-complete-javascript-course/
9,Complete C# Unity Game Developer 2D,"Learn Unity in C# & Code Your First Seven 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap (35 hours)",364934,4.6,78989,https://www.udemy.com/course/unitycourse/
